Hotel ID,r_predicted,s1,s2,s3,s4,s5
1,4.61,4.52,4.27,4.68,4.75,4.82
2,4.57,4.40,4.56,4.82,4.73,4.34
3,4.21,3.92,4.34,4.16,4.42,4.21
4,4.19,3.80,4.40,4.46,4.42,3.87
5,4.05,4.36,4.12,3.92,4.11,3.75
6,4.04,3.97,3.70,4.39,4.17,4.33
7,3.98,3.54,3.60,4.65,4.10,4.04
8,3.98,3.54,3.60,4.65,4.09,4.03
9,3.97,3.42,4.01,4.05,4.32,4.07
10,3.83,3.56,3.83,3.89,4.04,3.83
11,3.82,3.55,3.81,3.87,4.04,3.81
12,3.81,3.54,3.79,3.84,4.07,3.83
13,3.75,3.69,3.48,4.18,3.73,3.66
14,3.75,3.70,3.36,4.33,3.84,3.51
15,3.74,3.69,3.36,4.33,3.84,3.50
16,3.74,3.69,3.36,4.33,3.84,3.50
17,3.66,3.38,3.35,4.43,3.65,3.52
18,3.66,3.38,3.35,4.43,3.65,3.52
19,3.66,3.37,3.34,4.42,3.64,3.52
20,3.58,3.23,3.53,4.49,3.54,3.12
21,3.36,3.21,2.62,4.49,3.34,3.11
22,3.36,3.21,2.62,4.50,3.34,3.11
